t_s,mem_util_pct,gpu_util_pct,phase
0.0025986990076489747,3,27,util_25
0.023801888004527427,3,27,util_25
0.046019176006666385,3,27,util_25
0.0678928650013404,3,27,util_25
0.08933395400526933,3,27,util_25
0.11023894300160464,3,27,util_25
0.13274823200481478,23,19,util_25
0.15357862100063358,23,19,util_25
0.17443341000762302,23,19,util_25
0.19519549900724087,23,19,util_25
0.2159512890066253,23,19,util_25
0.23668747799820267,23,19,util_25
0.2574855669954559,23,19,util_25
0.2786523560062051,23,19,util_25
0.29977274499833584,23,19,util_25
0.3216638339945348,23,19,util_25
0.3423865229997318,29,25,util_25
0.36343061200750526,29,25,util_25
0.3848200009961147,29,25,util_25
0.4059454910020577,29,25,util_25
0.4269341799954418,29,25,util_25
0.44773226900724694,29,25,util_25
0.4684570670069661,29,25,util_25
0.48924388700106647,29,25,util_25
0.5099845070071751,29,25,util_25
0.53069612600666,29,26,util_25
0.551489246005076,29,26,util_25
0.5729142670024885,29,26,util_25
0.5944908870005747,29,26,util_25
0.6153313069953583,29,26,util_25
0.6360419260017807,29,26,util_25
0.6576534470077604,29,26,util_25
0.6792021669971291,29,26,util_25
0.7007590879948111,29,26,util_25
0.722327708004741,29,26,util_25
0.74406532899593,30,26,util_25
0.7651613490015734,30,26,util_25
0.7861981690075481,30,26,util_25
0.8069742890074849,30,26,util_25
0.827767009002855,30,26,util_25
0.8486212279967731,30,26,util_25
0.8694395479978994,30,26,util_25
0.8901411679980811,30,26,util_25
0.9109121880028397,30,26,util_25
0.9315538079972612,30,27,util_25
0.9522888280043844,30,27,util_25
0.9730347480071941,30,27,util_25
0.9938131679955404,30,27,util_25
1.0145770880044438,30,27,util_25
1.0353127080015838,30,27,util_25
1.056841027995688,30,27,util_25
1.0782797489955556,30,27,util_25
1.0990936690068338,30,27,util_25
1.1205766899947776,30,27,util_25
1.1413364100008039,30,28,util_25
1.1622118300001603,30,28,util_25
1.1832343499991111,30,28,util_25
1.204387570003746,30,28,util_25
1.225440691006952,30,28,util_25
1.2465612109954236,30,28,util_25
1.2673517310031457,30,28,util_25
1.2882631510001374,30,28,util_25
1.3091830710036447,30,28,util_25
1.3300395910046063,30,30,util_25
1.3507416110078339,30,30,util_25
1.371513831007178,30,30,util_25
1.3923923510010354,30,30,util_25
1.4133588719996624,30,30,util_25
1.4341453920060303,30,30,util_25
1.454941311996663,30,30,util_25
1.475756031999481,30,30,util_25
1.4964532519952627,30,30,util_25
1.5174438719986938,30,30,util_25
1.5380879919975996,30,28,util_25
1.5587713120039552,30,28,util_25
1.5794140310026705,30,28,util_25
1.6000975509959972,30,28,util_25
1.6211222720012302,30,28,util_25
1.6418887920008274,30,28,util_25
1.662901311996393,30,28,util_25
1.684231296996586,30,28,util_25
1.705282573995646,30,28,util_25
1.729908813998918,30,26,util_25
1.7514924860006431,30,26,util_25
1.7730800580029609,30,26,util_25
1.7945770299993455,30,26,util_25
1.8158006059966283,30,26,util_25
1.8366741850040853,30,26,util_25
1.8576222639967455,30,26,util_25
1.8783474450028734,30,26,util_25
1.899197124002967,30,26,util_25
1.920974994005519,30,26,util_25
1.9416596759983804,30,26,util_25
1.962392057001125,30,26,util_25
1.9833783350040903,30,26,util_25
2.004380714002764,30,26,util_25
2.0254426909959875,30,26,util_25
2.046543268006644,30,26,util_25
2.0673165490006795,30,26,util_25
2.088168129004771,30,26,util_25
2.1096518020058284,30,26,util_25
2.1313507730083074,28,26,util_25
2.1521720529999584,28,26,util_25
2.1728478349978104,28,26,util_25
2.193695114008733,28,26,util_25
2.2144302950036945,28,26,util_25
2.2350656780035933,28,26,util_25
2.255697059998056,28,26,util_25
2.2764252409979235,28,26,util_25
2.297347119994811,28,26,util_25
2.318116701004328,28,26,util_25
2.338769082998624,29,25,util_25
2.359655862004729,29,25,util_25
2.3804968420008663,29,25,util_25
2.401352921995567,29,25,util_25
2.422265900997445,29,25,util_25
2.4434442769997986,29,25,util_25
2.464800251997076,29,25,util_25
2.4867090199986706,29,25,util_25
2.5085564900073223,29,25,util_25
2.5296404670079937,29,25,util_25
2.550532146007754,29,25,util_25
2.5713785260013537,29,25,util_25
2.5921195069968235,29,25,util_25
2.612974186995416,29,25,util_25
2.633903566005756,29,25,util_25
2.654773946007481,29,25,util_25
2.6756514250009786,29,25,util_25
2.6965049050049856,29,25,util_25
2.717387384007452,29,25,util_25
2.7382891640008893,30,25,util_25
2.759052444002009,30,25,util_25
2.7798902240028838,30,25,util_25
2.8007570040063,30,25,util_25
2.8216367840068415,30,25,util_25
2.8428344599960838,30,25,util_25
2.8640574360033497,30,25,util_25
2.885117312995135,30,25,util_25
2.9063686890003737,30,25,util_25
2.9271623700042255,30,26,util_25
2.9478765509993536,30,26,util_25
2.9685831329989014,30,26,util_25
2.9893884129996877,30,26,util_25
3.010062294997624,30,26,util_25
3.0308135759987636,30,26,util_25
3.051616657001432,30,26,util_25
3.072379037999781,30,26,util_25
3.093102319005993,30,26,util_25
3.1139418999955524,30,26,util_25
3.1346563810075168,30,26,util_25
3.1555005609989166,30,26,util_25
3.1763026420085225,30,26,util_25
3.1970807229954517,30,26,util_25
3.2178706039994722,30,26,util_25
3.238591985005769,30,26,util_25
3.2593018670013407,30,26,util_25
3.280910739005776,30,26,util_25
3.3018919169990113,30,26,util_25
3.3229869950009743,30,26,util_25
3.344224671003758,30,26,util_25
3.365318248004769,30,26,util_25
3.3861833279952407,30,26,util_25
3.4070376080053393,30,26,util_25
