t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
0.0039466110029025,2,20,14.37,util_25
0.02485560000059195,2,20,14.37,util_25
0.045829690992832184,2,20,14.37,util_25
0.06659107599989511,2,20,14.37,util_25
0.08832268799596932,2,20,14.37,util_25
0.1102301049977541,2,20,14.37,util_25
0.13193031700211577,18,16,129.37,util_25
0.15275740298966412,18,16,129.37,util_25
0.1745260169991525,18,16,129.37,util_25
0.19628122900030576,18,16,129.37,util_25
0.21820034699339885,18,16,129.37,util_25
0.23983365599997342,18,16,129.37,util_25
0.26167727199208457,18,16,129.37,util_25
0.2829850720008835,18,16,129.37,util_25
0.3041559679986676,18,16,129.37,util_25
0.33119563000218477,22,19,158.11,util_25
0.35193791399069596,22,19,158.11,util_25
0.37262709699280094,22,19,158.11,util_25
0.3932882789958967,22,19,158.11,util_25
0.4141431659954833,22,19,158.11,util_25
0.43498555399128236,22,19,158.11,util_25
0.45573523799248505,22,19,158.11,util_25
0.47661702599725686,22,19,158.11,util_25
0.49757181700260844,22,19,158.11,util_25
0.518436603990267,22,19,158.11,util_25
0.5392900919978274,22,21,158.11,util_25
0.560977102999459,22,21,158.11,util_25
0.5830128230008995,22,21,158.11,util_25
0.6050783449900337,22,21,158.11,util_25
0.6269464609940769,22,21,158.11,util_25
0.6477345469902502,22,21,158.11,util_25
0.6685075319983298,22,21,158.11,util_25
0.6893133179983124,22,21,158.11,util_25
0.7100325009960216,22,21,158.11,util_25
0.7307150839915266,22,20,158.11,util_25
0.7514799689961364,22,20,158.11,util_25
0.7732290819985792,22,20,158.11,util_25
0.7948665909934789,22,20,158.11,util_25
0.8168100089969812,22,20,158.11,util_25
0.8376522960024886,22,20,158.11,util_25
0.8584460819984088,22,20,158.11,util_25
0.8793013749964302,22,20,158.11,util_25
0.9002384819905274,22,20,158.11,util_25
0.9218539080029586,22,20,158.11,util_25
0.9439520479936618,23,24,165.30,util_25
0.9660279879899463,23,24,165.30,util_25
0.9881376289995387,23,24,165.30,util_25
1.009060034994036,23,24,165.30,util_25
1.0299259399907896,23,24,165.30,util_25
1.050807644991437,23,24,165.30,util_25
1.0715253450034652,23,24,165.30,util_25
1.0931799730024068,23,24,165.30,util_25
1.1149297029915033,23,24,165.30,util_25
1.1357604060031008,23,24,165.30,util_25
1.157411434003734,23,24,165.30,util_25
1.1789599579933565,23,24,165.30,util_25
1.2006579869921552,23,24,165.30,util_25
