t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
0.0007675380038563162,13,12,116.10,util_25
0.02164770200033672,13,12,116.10,util_25
0.04291972701321356,13,12,116.10,util_25
0.06419245598954149,13,12,116.10,util_25
0.08515233898651786,13,12,116.10,util_25
0.10611151799093932,13,12,116.10,util_25
0.1272555709874723,13,12,116.10,util_25
0.14819062300375663,13,12,116.10,util_25
0.16910938901128247,13,12,116.10,util_25
0.19031104500754736,13,12,116.10,util_25
0.2116080010018777,36,31,321.52,util_25
0.23273908501141705,36,31,321.52,util_25
0.2540030679956544,36,31,321.52,util_25
0.2749782309983857,36,31,321.52,util_25
0.2956833739881404,36,31,321.52,util_25
0.3166467749979347,36,31,321.52,util_25
0.3375700660108123,36,31,321.52,util_25
0.35845967900240794,36,31,321.52,util_25
0.38012437100405805,36,31,321.52,util_25
0.4017057240125723,30,25,267.93,util_25
0.4234735580103006,30,25,267.93,util_25
0.4453843439987395,30,25,267.93,util_25
0.46711226800107397,30,25,267.93,util_25
0.4896357780089602,30,25,267.93,util_25
0.5117409880040213,30,25,267.93,util_25
0.5337068639928475,30,25,267.93,util_25
0.5548410640039947,30,25,267.93,util_25
0.5758341210021172,30,25,267.93,util_25
0.5989042069995776,30,28,267.93,util_25
0.619850821007276,30,28,267.93,util_25
0.6406039159919601,30,28,267.93,util_25
0.6613402219954878,30,28,267.93,util_25
0.6822266179951839,30,28,267.93,util_25
0.7030772269936278,30,28,267.93,util_25
0.7238645009929314,30,28,267.93,util_25
0.7448871140077244,30,28,267.93,util_25
0.765796899999259,30,28,267.93,util_25
0.7870874909858685,30,28,267.93,util_25
0.8087276320147794,29,26,259.00,util_25
0.8306670559977647,29,26,259.00,util_25
0.8525598389969673,29,26,259.00,util_25
0.87484689799021,29,26,259.00,util_25
0.8966265569906682,29,26,259.00,util_25
0.9177708810020704,29,26,259.00,util_25
0.9387218960036989,29,26,259.00,util_25
0.9597012159938458,29,26,259.00,util_25
0.9806605920020957,29,26,259.00,util_25
1.001708714000415,28,23,250.07,util_25
1.0235296740138438,28,23,250.07,util_25
1.0446917279914487,28,23,250.07,util_25
1.0657559680112172,28,23,250.07,util_25
1.0867176599858794,28,23,250.07,util_25
1.1085148460115306,28,23,250.07,util_25
1.1304837850038894,28,23,250.07,util_25
1.1522585070051719,28,23,250.07,util_25
1.174234095000429,28,23,250.07,util_25
1.1954167989897542,28,23,250.07,util_25
1.2174647139909212,29,26,259.00,util_25
1.2397388789977413,29,26,259.00,util_25
1.2615067519946024,29,26,259.00,util_25
1.283088163996581,29,26,259.00,util_25
1.3045634019945282,29,26,259.00,util_25
1.3257361339929048,29,26,259.00,util_25
1.3467315720045008,29,26,259.00,util_25
1.3677859400049783,29,26,259.00,util_25
1.3888184489915147,29,26,259.00,util_25
1.4097983739920892,30,25,267.93,util_25
1.4308024760102853,30,25,267.93,util_25
1.4518096999963745,30,25,267.93,util_25
1.4727998999878764,30,25,267.93,util_25
1.4937680390139576,30,25,267.93,util_25
1.5147577360039577,30,25,267.93,util_25
1.535650222998811,30,25,267.93,util_25
1.5566988500067964,30,25,267.93,util_25
1.5775516479916405,30,25,267.93,util_25
1.5990043210040312,30,25,267.93,util_25
1.6202701310103294,30,26,267.93,util_25
1.6414791269926354,30,26,267.93,util_25
1.6625521320092957,30,26,267.93,util_25
1.683174951991532,30,26,267.93,util_25
1.7039025370031595,30,26,267.93,util_25
